cluster_name,experiment_name,type,name,namespace,container_name,timezone,short_term_tz1,st_tz1_cpu_min,st_tz1_cpu_q1,st_tz1_cpu_median,st_tz1_cpu_q3,st_tz1_cpu_max,st_tz1_mem_min,st_tz1_mem_q1,st_tz1_mem_median,st_tz1_mem_q3,st_tz1_mem_max,short_term_tz2,st_tz2_cpu_min,st_tz2_cpu_q1,st_tz2_cpu_median,st_tz2_cpu_q3,st_tz2_cpu_max,st_tz2_mem_min,st_tz2_mem_q1,st_tz2_mem_median,st_tz2_mem_q3,st_tz2_mem_max,short_term_tz3,st_tz3_cpu_min,st_tz3_cpu_q1,st_tz3_cpu_median,st_tz3_cpu_q3,st_tz3_cpu_max,st_tz3_mem_min,st_tz3_mem_q1,st_tz3_mem_median,st_tz3_mem_q3,st_tz3_mem_max,short_term_tz4,st_tz4_cpu_min,st_tz4_cpu_q1,st_tz4_cpu_median,st_tz4_cpu_q3,st_tz4_cpu_max,st_tz4_mem_min,st_tz4_mem_q1,st_tz4_mem_median,st_tz4_mem_q3,st_tz4_mem_max,medium_term_tz1,mt_tz1_cpu_min,mt_tz1_cpu_q1,mt_tz1_cpu_median,mt_tz1_cpu_q3,mt_tz1_cpu_max,mt_tz1_mem_min,mt_tz1_mem_q1,mt_tz1_mem_median,mt_tz1_mem_q3,mt_tz1_mem_max,medium_term_tz2,mt_tz2_cpu_min,mt_tz2_cpu_q1,mt_tz2_cpu_median,mt_tz2_cpu_q3,mt_tz2_cpu_max,mt_tz2_mem_min,mt_tz2_mem_q1,mt_tz2_mem_median,mt_tz2_mem_q3,mt_tz2_mem_max,medium_term_tz3,mt_tz3_cpu_min,mt_tz3_cpu_q1,mt_tz3_cpu_median,mt_tz3_cpu_q3,mt_tz3_cpu_max,mt_tz3_mem_min,mt_tz3_mem_q1,mt_tz3_mem_median,mt_tz3_mem_q3,mt_tz3_mem_max,medium_term_tz4,mt_tz4_cpu_min,mt_tz4_cpu_q1,mt_tz4_cpu_median,mt_tz4_cpu_q3,mt_tz4_cpu_max,mt_tz4_mem_min,mt_tz4_mem_q1,mt_tz4_mem_median,mt_tz4_mem_q3,mt_tz4_mem_max,medium_term_tz5,mt_tz5_cpu_min,mt_tz5_cpu_q1,mt_tz5_cpu_median,mt_tz5_cpu_q3,mt_tz5_cpu_max,mt_tz5_mem_min,mt_tz5_mem_q1,mt_tz5_mem_median,mt_tz5_mem_q3,mt_tz5_mem_max,medium_term_tz6,mt_tz6_cpu_min,mt_tz6_cpu_q1,mt_tz6_cpu_median,mt_tz6_cpu_q3,mt_tz6_cpu_max,mt_tz6_mem_min,mt_tz6_mem_q1,mt_tz6_mem_median,mt_tz6_mem_q3,mt_tz6_mem_max,medium_term_tz7,mt_tz7_cpu_min,mt_tz7_cpu_q1,mt_tz7_cpu_median,mt_tz7_cpu_q3,mt_tz7_cpu_max,mt_tz7_mem_min,mt_tz7_mem_q1,mt_tz7_mem_median,mt_tz7_mem_q3,mt_tz7_mem_max,long_term_tz1,lt_tz1_cpu_min,lt_tz1_cpu_q1,lt_tz1_cpu_median,lt_tz1_cpu_q3,lt_tz1_cpu_max,lt_tz1_mem_min,lt_tz1_mem_q1,lt_tz1_mem_median,lt_tz1_mem_q3,lt_tz1_mem_max,long_term_tz2,lt_tz2_cpu_min,lt_tz2_cpu_q1,lt_tz2_cpu_median,lt_tz2_cpu_q3,lt_tz2_cpu_max,lt_tz2_mem_min,lt_tz2_mem_q1,lt_tz2_mem_median,lt_tz2_mem_q3,lt_tz2_mem_max,long_term_tz3,lt_tz3_cpu_min,lt_tz3_cpu_q1,lt_tz3_cpu_median,lt_tz3_cpu_q3,lt_tz3_cpu_max,lt_tz3_mem_min,lt_tz3_mem_q1,lt_tz3_mem_median,lt_tz3_mem_q3,lt_tz3_mem_max,long_term_tz4,lt_tz4_cpu_min,lt_tz4_cpu_q1,lt_tz4_cpu_median,lt_tz4_cpu_q3,lt_tz4_cpu_max,lt_tz4_mem_min,lt_tz4_mem_q1,lt_tz4_mem_median,lt_tz4_mem_q3,lt_tz4_mem_max,long_term_tz5,lt_tz5_cpu_min,lt_tz5_cpu_q1,lt_tz5_cpu_median,lt_tz5_cpu_q3,lt_tz5_cpu_max,lt_tz5_mem_min,lt_tz5_mem_q1,lt_tz5_mem_median,lt_tz5_mem_q3,lt_tz5_mem_max,long_term_tz6,lt_tz6_cpu_min,lt_tz6_cpu_q1,lt_tz6_cpu_median,lt_tz6_cpu_q3,lt_tz6_cpu_max,lt_tz6_mem_min,lt_tz6_mem_q1,lt_tz6_mem_median,lt_tz6_mem_q3,lt_tz6_mem_max,long_term_tz7,lt_tz7_cpu_min,lt_tz7_cpu_q1,lt_tz7_cpu_median,lt_tz7_cpu_q3,lt_tz7_cpu_max,lt_tz7_mem_min,lt_tz7_mem_q1,lt_tz7_mem_median,lt_tz7_mem_q3,lt_tz7_mem_max,long_term_tz8,lt_tz8_cpu_min,lt_tz8_cpu_q1,lt_tz8_cpu_median,lt_tz8_cpu_q3,lt_tz8_cpu_max,lt_tz8_mem_min,lt_tz8_mem_q1,lt_tz8_mem_median,lt_tz8_mem_q3,lt_tz8_mem_max,long_term_tz9,lt_tz9_cpu_min,lt_tz9_cpu_q1,lt_tz9_cpu_median,lt_tz9_cpu_q3,lt_tz9_cpu_max,lt_tz9_mem_min,lt_tz9_mem_q1,lt_tz9_mem_median,lt_tz9_mem_q3,lt_tz9_mem_max,long_term_tz10,lt_tz10_cpu_min,lt_tz10_cpu_q1,lt_tz10_cpu_median,lt_tz10_cpu_q3,lt_tz10_cpu_max,lt_tz10_mem_min,lt_tz10_mem_q1,lt_tz10_mem_median,lt_tz10_mem_q3,lt_tz10_mem_max,long_term_tz11,lt_tz11_cpu_min,lt_tz11_cpu_q1,lt_tz11_cpu_median,lt_tz11_cpu_q3,lt_tz11_cpu_max,lt_tz11_mem_min,lt_tz11_mem_q1,lt_tz11_mem_median,lt_tz11_mem_q3,lt_tz11_mem_max,long_term_tz12,lt_tz12_cpu_min,lt_tz12_cpu_q1,lt_tz12_cpu_median,lt_tz12_cpu_q3,lt_tz12_cpu_max,lt_tz12_mem_min,lt_tz12_mem_q1,lt_tz12_mem_median,lt_tz12_mem_q3,lt_tz12_mem_max,long_term_tz13,lt_tz13_cpu_min,lt_tz13_cpu_q1,lt_tz13_cpu_median,lt_tz13_cpu_q3,lt_tz13_cpu_max,lt_tz13_mem_min,lt_tz13_mem_q1,lt_tz13_mem_median,lt_tz13_mem_q3,lt_tz13_mem_max,long_term_tz14,lt_tz14_cpu_min,lt_tz14_cpu_q1,lt_tz14_cpu_median,lt_tz14_cpu_q3,lt_tz14_cpu_max,lt_tz14_mem_min,lt_tz14_mem_q1,lt_tz14_mem_median,lt_tz14_mem_q3,lt_tz14_mem_max,long_term_tz15,lt_tz15_cpu_min,lt_tz15_cpu_q1,lt_tz15_cpu_median,lt_tz15_cpu_q3,lt_tz15_cpu_max,lt_tz15_mem_min,lt_tz15_mem_q1,lt_tz15_mem_median,lt_tz15_mem_q3,lt_tz15_mem_max
cluster1,advisor-backend-api|advisor-backend-api|deployment|advisor-stage|cluster1,deployment,advisor-backend-api,advisor-stage,advisor-backend-api,2023-05-27T17:30:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T17:30:00.000Z,0.00283,0.012084,0.018537,0.018537,0.018537,118.4140625,326.46875,327.1640625,327.1640625,327.1640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,advisor-backend-api|advisor-backend-api|deployment|advisor-stage|cluster1,deployment,advisor-backend-api,advisor-stage,advisor-backend-api,2023-05-27T17:45:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T17:45:00.000Z,0.00283,0.012583,0.012583,0.018537,0.018537,118.4140625,326.53125,326.53125,327.1640625,327.1640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,advisor-backend-api|advisor-backend-api|deployment|advisor-stage|cluster1,deployment,advisor-backend-api,advisor-stage,advisor-backend-api,2023-05-27T18:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T18:00:00.000Z,0.002163,0.012583,0.018537,0.018537,0.255054,118.4140625,326.53125,326.53515625,326.53515625,327.1640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,advisor-backend-api|advisor-backend-api|deployment|advisor-stage|cluster1,deployment,advisor-backend-api,advisor-stage,advisor-backend-api,2023-05-27T18:15:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T18:15:00.000Z,0.002163,0.012084,0.012583,0.018537,0.255054,118.4140625,326.53125,326.53515625,327.109375,327.1640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,advisor-backend-api|advisor-backend-api|deployment|advisor-stage|cluster1,deployment,advisor-backend-api,advisor-stage,advisor-backend-api,2023-05-27T18:30:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T18:30:00.000Z,0.002163,0.012084,0.018537,0.255054,0.26691499999999996,118.4140625,326.53125,327.109375,327.1640625,328.16796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,advisor-backend-api|advisor-backend-api|deployment|advisor-stage|cluster1,deployment,advisor-backend-api,advisor-stage,advisor-backend-api,2023-05-27T18:45:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T18:45:00.000Z,0.002163,0.012583,0.018537,0.255054,0.26691499999999996,118.4140625,326.53515625,327.109375,327.25,328.16796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,advisor-backend-api|advisor-backend-api|deployment|advisor-stage|cluster1,deployment,advisor-backend-api,advisor-stage,advisor-backend-api,2023-05-27T19:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T19:00:00.000Z,0.002163,0.012554,0.018537,0.231533,0.26691499999999996,118.4140625,326.53125,327.109375,327.1640625,328.16796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,advisor-backend-api|advisor-backend-api|deployment|advisor-stage|cluster1,deployment,advisor-backend-api,advisor-stage,advisor-backend-api,2023-05-27T19:15:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T19:15:00.000Z,0.002163,0.012084,0.012583,0.231533,0.26691499999999996,118.4140625,326.46875,326.53515625,327.1640625,328.16796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,advisor-backend-api|advisor-backend-api|deployment|advisor-stage|cluster1,deployment,advisor-backend-api,advisor-stage,advisor-backend-api,2023-05-27T19:30:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T19:30:00.000Z,0.002163,0.011422,0.012583,0.231533,0.26691499999999996,118.4140625,326.0,326.53515625,327.1640625,328.16796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,advisor-backend-api|advisor-backend-api|deployment|advisor-stage|cluster1,deployment,advisor-backend-api,advisor-stage,advisor-backend-api,2023-05-27T19:45:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T19:45:00.000Z,0.002163,0.011424,0.012554,0.231533,0.26691499999999996,118.4140625,326.0,326.53125,327.1640625,328.16796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,advisor-backend-api|advisor-backend-api|deployment|advisor-stage|cluster1,deployment,advisor-backend-api,advisor-stage,advisor-backend-api,2023-05-27T20:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T20:00:00.000Z,0.002163,0.011424,0.012583,0.018537,0.26691499999999996,118.4140625,325.8203125,326.53125,327.109375,328.16796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,advisor-backend-api|advisor-backend-api|deployment|advisor-stage|cluster1,deployment,advisor-backend-api,advisor-stage,advisor-backend-api,2023-05-27T20:15:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T20:15:00.000Z,0.002163,0.011424,0.012583,0.028954,0.26691499999999996,118.4140625,325.8203125,326.46875,327.109375,328.16796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,advisor-backend-api|advisor-backend-api|deployment|advisor-stage|cluster1,deployment,advisor-backend-api,advisor-stage,advisor-backend-api,2023-05-27T20:30:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T20:30:00.000Z,0.002163,0.011424,0.013535,0.028954,0.26691499999999996,118.4140625,325.81640625,326.46875,327.109375,328.16796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,advisor-backend-api|advisor-backend-api|deployment|advisor-stage|cluster1,deployment,advisor-backend-api,advisor-stage,advisor-backend-api,2023-05-27T20:45:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T20:45:00.000Z,0.002163,0.012084,0.013535,0.062355,0.26691499999999996,118.4140625,325.8203125,326.22265625,327.109375,328.16796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,advisor-backend-api|advisor-backend-api|deployment|advisor-stage|cluster1,deployment,advisor-backend-api,advisor-stage,advisor-backend-api,2023-05-27T21:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T21:00:00.000Z,0.002163,0.012084,0.018537,0.038057,0.26691499999999996,118.4140625,325.8203125,326.46875,326.625,328.16796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,advisor-backend-api|advisor-backend-api|deployment|advisor-stage|cluster1,deployment,advisor-backend-api,advisor-stage,advisor-backend-api,2023-05-27T21:15:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T21:15:00.000Z,0.002163,0.012084,0.018537,0.038057,0.26691499999999996,118.4140625,325.8203125,326.22265625,326.625,328.16796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,advisor-backend-api|advisor-backend-api|deployment|advisor-stage|cluster1,deployment,advisor-backend-api,advisor-stage,advisor-backend-api,2023-05-27T21:30:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T21:30:00.000Z,0.002163,0.012084,0.021063,0.038057,0.26691499999999996,118.4140625,325.81640625,326.22265625,326.625,328.16796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,advisor-backend-api|advisor-backend-api|deployment|advisor-stage|cluster1,deployment,advisor-backend-api,advisor-stage,advisor-backend-api,2023-05-27T21:45:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T21:45:00.000Z,0.002163,0.012084,0.018537,0.038057,0.26691499999999996,118.4140625,325.81640625,326.08203125,326.625,328.16796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,advisor-backend-api|advisor-backend-api|deployment|advisor-stage|cluster1,deployment,advisor-backend-api,advisor-stage,advisor-backend-api,2023-05-27T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T22:00:00.000Z,0.002163,0.012084,0.018537,0.032063999999999995,0.26691499999999996,118.4140625,325.69921875,326.08203125,326.53515625,328.16796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,advisor-backend-api|advisor-backend-api|deployment|advisor-stage|cluster1,deployment,advisor-backend-api,advisor-stage,advisor-backend-api,2023-05-27T22:15:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T22:15:00.000Z,0.002163,0.012084,0.018537,0.032063999999999995,0.26691499999999996,118.4140625,325.6328125,326.06640625,326.53515625,328.16796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,advisor-backend-api|advisor-backend-api|deployment|advisor-stage|cluster1,deployment,advisor-backend-api,advisor-stage,advisor-backend-api,2023-05-27T22:30:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T22:30:00.000Z,0.002163,0.012084,0.021063,0.038057,0.26691499999999996,118.4140625,325.6328125,326.06640625,326.53515625,328.16796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,advisor-backend-api|advisor-backend-api|deployment|advisor-stage|cluster1,deployment,advisor-backend-api,advisor-stage,advisor-backend-api,2023-05-27T22:45:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T22:45:00.000Z,0.002163,0.012233,0.021063,0.062355,0.26691499999999996,118.4140625,325.6328125,326.0,326.53515625,328.16796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,advisor-backend-api|advisor-backend-api|deployment|advisor-stage|cluster1,deployment,advisor-backend-api,advisor-stage,advisor-backend-api,2023-05-27T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T23:00:00.000Z,0.002163,0.012233,0.021776,0.038057,0.26691499999999996,118.4140625,322.52734375,326.0,326.53125,328.16796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
