cluster_name,experiment_name,type,name,namespace,container_name,timezone,short_term_tz1,st_tz1_cpu_min,st_tz1_cpu_q1,st_tz1_cpu_median,st_tz1_cpu_q3,st_tz1_cpu_max,st_tz1_mem_min,st_tz1_mem_q1,st_tz1_mem_median,st_tz1_mem_q3,st_tz1_mem_max,short_term_tz2,st_tz2_cpu_min,st_tz2_cpu_q1,st_tz2_cpu_median,st_tz2_cpu_q3,st_tz2_cpu_max,st_tz2_mem_min,st_tz2_mem_q1,st_tz2_mem_median,st_tz2_mem_q3,st_tz2_mem_max,short_term_tz3,st_tz3_cpu_min,st_tz3_cpu_q1,st_tz3_cpu_median,st_tz3_cpu_q3,st_tz3_cpu_max,st_tz3_mem_min,st_tz3_mem_q1,st_tz3_mem_median,st_tz3_mem_q3,st_tz3_mem_max,short_term_tz4,st_tz4_cpu_min,st_tz4_cpu_q1,st_tz4_cpu_median,st_tz4_cpu_q3,st_tz4_cpu_max,st_tz4_mem_min,st_tz4_mem_q1,st_tz4_mem_median,st_tz4_mem_q3,st_tz4_mem_max,medium_term_tz1,mt_tz1_cpu_min,mt_tz1_cpu_q1,mt_tz1_cpu_median,mt_tz1_cpu_q3,mt_tz1_cpu_max,mt_tz1_mem_min,mt_tz1_mem_q1,mt_tz1_mem_median,mt_tz1_mem_q3,mt_tz1_mem_max,medium_term_tz2,mt_tz2_cpu_min,mt_tz2_cpu_q1,mt_tz2_cpu_median,mt_tz2_cpu_q3,mt_tz2_cpu_max,mt_tz2_mem_min,mt_tz2_mem_q1,mt_tz2_mem_median,mt_tz2_mem_q3,mt_tz2_mem_max,medium_term_tz3,mt_tz3_cpu_min,mt_tz3_cpu_q1,mt_tz3_cpu_median,mt_tz3_cpu_q3,mt_tz3_cpu_max,mt_tz3_mem_min,mt_tz3_mem_q1,mt_tz3_mem_median,mt_tz3_mem_q3,mt_tz3_mem_max,medium_term_tz4,mt_tz4_cpu_min,mt_tz4_cpu_q1,mt_tz4_cpu_median,mt_tz4_cpu_q3,mt_tz4_cpu_max,mt_tz4_mem_min,mt_tz4_mem_q1,mt_tz4_mem_median,mt_tz4_mem_q3,mt_tz4_mem_max,medium_term_tz5,mt_tz5_cpu_min,mt_tz5_cpu_q1,mt_tz5_cpu_median,mt_tz5_cpu_q3,mt_tz5_cpu_max,mt_tz5_mem_min,mt_tz5_mem_q1,mt_tz5_mem_median,mt_tz5_mem_q3,mt_tz5_mem_max,medium_term_tz6,mt_tz6_cpu_min,mt_tz6_cpu_q1,mt_tz6_cpu_median,mt_tz6_cpu_q3,mt_tz6_cpu_max,mt_tz6_mem_min,mt_tz6_mem_q1,mt_tz6_mem_median,mt_tz6_mem_q3,mt_tz6_mem_max,medium_term_tz7,mt_tz7_cpu_min,mt_tz7_cpu_q1,mt_tz7_cpu_median,mt_tz7_cpu_q3,mt_tz7_cpu_max,mt_tz7_mem_min,mt_tz7_mem_q1,mt_tz7_mem_median,mt_tz7_mem_q3,mt_tz7_mem_max,long_term_tz1,lt_tz1_cpu_min,lt_tz1_cpu_q1,lt_tz1_cpu_median,lt_tz1_cpu_q3,lt_tz1_cpu_max,lt_tz1_mem_min,lt_tz1_mem_q1,lt_tz1_mem_median,lt_tz1_mem_q3,lt_tz1_mem_max,long_term_tz2,lt_tz2_cpu_min,lt_tz2_cpu_q1,lt_tz2_cpu_median,lt_tz2_cpu_q3,lt_tz2_cpu_max,lt_tz2_mem_min,lt_tz2_mem_q1,lt_tz2_mem_median,lt_tz2_mem_q3,lt_tz2_mem_max,long_term_tz3,lt_tz3_cpu_min,lt_tz3_cpu_q1,lt_tz3_cpu_median,lt_tz3_cpu_q3,lt_tz3_cpu_max,lt_tz3_mem_min,lt_tz3_mem_q1,lt_tz3_mem_median,lt_tz3_mem_q3,lt_tz3_mem_max,long_term_tz4,lt_tz4_cpu_min,lt_tz4_cpu_q1,lt_tz4_cpu_median,lt_tz4_cpu_q3,lt_tz4_cpu_max,lt_tz4_mem_min,lt_tz4_mem_q1,lt_tz4_mem_median,lt_tz4_mem_q3,lt_tz4_mem_max,long_term_tz5,lt_tz5_cpu_min,lt_tz5_cpu_q1,lt_tz5_cpu_median,lt_tz5_cpu_q3,lt_tz5_cpu_max,lt_tz5_mem_min,lt_tz5_mem_q1,lt_tz5_mem_median,lt_tz5_mem_q3,lt_tz5_mem_max,long_term_tz6,lt_tz6_cpu_min,lt_tz6_cpu_q1,lt_tz6_cpu_median,lt_tz6_cpu_q3,lt_tz6_cpu_max,lt_tz6_mem_min,lt_tz6_mem_q1,lt_tz6_mem_median,lt_tz6_mem_q3,lt_tz6_mem_max,long_term_tz7,lt_tz7_cpu_min,lt_tz7_cpu_q1,lt_tz7_cpu_median,lt_tz7_cpu_q3,lt_tz7_cpu_max,lt_tz7_mem_min,lt_tz7_mem_q1,lt_tz7_mem_median,lt_tz7_mem_q3,lt_tz7_mem_max,long_term_tz8,lt_tz8_cpu_min,lt_tz8_cpu_q1,lt_tz8_cpu_median,lt_tz8_cpu_q3,lt_tz8_cpu_max,lt_tz8_mem_min,lt_tz8_mem_q1,lt_tz8_mem_median,lt_tz8_mem_q3,lt_tz8_mem_max,long_term_tz9,lt_tz9_cpu_min,lt_tz9_cpu_q1,lt_tz9_cpu_median,lt_tz9_cpu_q3,lt_tz9_cpu_max,lt_tz9_mem_min,lt_tz9_mem_q1,lt_tz9_mem_median,lt_tz9_mem_q3,lt_tz9_mem_max,long_term_tz10,lt_tz10_cpu_min,lt_tz10_cpu_q1,lt_tz10_cpu_median,lt_tz10_cpu_q3,lt_tz10_cpu_max,lt_tz10_mem_min,lt_tz10_mem_q1,lt_tz10_mem_median,lt_tz10_mem_q3,lt_tz10_mem_max,long_term_tz11,lt_tz11_cpu_min,lt_tz11_cpu_q1,lt_tz11_cpu_median,lt_tz11_cpu_q3,lt_tz11_cpu_max,lt_tz11_mem_min,lt_tz11_mem_q1,lt_tz11_mem_median,lt_tz11_mem_q3,lt_tz11_mem_max,long_term_tz12,lt_tz12_cpu_min,lt_tz12_cpu_q1,lt_tz12_cpu_median,lt_tz12_cpu_q3,lt_tz12_cpu_max,lt_tz12_mem_min,lt_tz12_mem_q1,lt_tz12_mem_median,lt_tz12_mem_q3,lt_tz12_mem_max,long_term_tz13,lt_tz13_cpu_min,lt_tz13_cpu_q1,lt_tz13_cpu_median,lt_tz13_cpu_q3,lt_tz13_cpu_max,lt_tz13_mem_min,lt_tz13_mem_q1,lt_tz13_mem_median,lt_tz13_mem_q3,lt_tz13_mem_max,long_term_tz14,lt_tz14_cpu_min,lt_tz14_cpu_q1,lt_tz14_cpu_median,lt_tz14_cpu_q3,lt_tz14_cpu_max,lt_tz14_mem_min,lt_tz14_mem_q1,lt_tz14_mem_median,lt_tz14_mem_q3,lt_tz14_mem_max,long_term_tz15,lt_tz15_cpu_min,lt_tz15_cpu_q1,lt_tz15_cpu_median,lt_tz15_cpu_q3,lt_tz15_cpu_max,lt_tz15_mem_min,lt_tz15_mem_q1,lt_tz15_mem_median,lt_tz15_mem_q3,lt_tz15_mem_max
cluster1,cert-manager-openshift-routes|cert-manager-openshift-routes|deployment|cert-manager|cluster1,deployment,cert-manager-openshift-routes,cert-manager,cert-manager-openshift-routes,2023-05-27T20:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T20:00:00.000Z,0.000331,0.001681,0.00198,0.002132,0.002593,36.51171875,36.84375,36.84765625,36.90234375,36.92578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,cert-manager-openshift-routes|cert-manager-openshift-routes|deployment|cert-manager|cluster1,deployment,cert-manager-openshift-routes,cert-manager,cert-manager-openshift-routes,2023-05-27T20:15:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T20:15:00.000Z,0.000331,0.001681,0.0019490000000000002,0.002132,0.002593,36.51171875,36.84375,36.84765625,36.90234375,36.92578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,cert-manager-openshift-routes|cert-manager-openshift-routes|deployment|cert-manager|cluster1,deployment,cert-manager-openshift-routes,cert-manager,cert-manager-openshift-routes,2023-05-27T20:30:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T20:30:00.000Z,0.000304,0.001681,0.0019490000000000002,0.002132,0.002593,36.51171875,36.72265625,36.84765625,36.90234375,36.92578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,cert-manager-openshift-routes|cert-manager-openshift-routes|deployment|cert-manager|cluster1,deployment,cert-manager-openshift-routes,cert-manager,cert-manager-openshift-routes,2023-05-27T20:45:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T20:45:00.000Z,0.000304,0.001681,0.001942,0.002132,0.002593,36.51171875,36.734375,36.84375,36.90234375,36.92578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,cert-manager-openshift-routes|cert-manager-openshift-routes|deployment|cert-manager|cluster1,deployment,cert-manager-openshift-routes,cert-manager,cert-manager-openshift-routes,2023-05-27T21:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T21:00:00.000Z,0.000304,0.001681,0.0019490000000000002,0.002131,0.002593,36.51171875,36.734375,36.84375,36.84765625,36.92578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,cert-manager-openshift-routes|cert-manager-openshift-routes|deployment|cert-manager|cluster1,deployment,cert-manager-openshift-routes,cert-manager,cert-manager-openshift-routes,2023-05-27T21:15:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T21:15:00.000Z,0.000304,0.001681,0.001942,0.002131,0.002593,36.51171875,36.734375,36.84375,36.84765625,36.92578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,cert-manager-openshift-routes|cert-manager-openshift-routes|deployment|cert-manager|cluster1,deployment,cert-manager-openshift-routes,cert-manager,cert-manager-openshift-routes,2023-05-27T21:30:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T21:30:00.000Z,0.000304,0.001681,0.001942,0.002131,0.002593,36.51171875,36.734375,36.84375,36.84765625,36.92578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,cert-manager-openshift-routes|cert-manager-openshift-routes|deployment|cert-manager|cluster1,deployment,cert-manager-openshift-routes,cert-manager,cert-manager-openshift-routes,2023-05-27T21:45:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T21:45:00.000Z,0.000304,0.0017039999999999998,0.001942,0.002131,0.002593,36.51171875,36.8125,36.84375,36.84765625,36.92578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,cert-manager-openshift-routes|cert-manager-openshift-routes|deployment|cert-manager|cluster1,deployment,cert-manager-openshift-routes,cert-manager,cert-manager-openshift-routes,2023-05-27T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T22:00:00.000Z,0.000304,0.0017039999999999998,0.0019490000000000002,0.002131,0.002794,36.51171875,36.734375,36.84375,36.84765625,36.92578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,cert-manager-openshift-routes|cert-manager-openshift-routes|deployment|cert-manager|cluster1,deployment,cert-manager-openshift-routes,cert-manager,cert-manager-openshift-routes,2023-05-27T22:15:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T22:15:00.000Z,0.000304,0.0017039999999999998,0.0019490000000000002,0.002131,0.002794,36.50390625,36.72265625,36.81640625,36.84765625,36.92578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,cert-manager-openshift-routes|cert-manager-openshift-routes|deployment|cert-manager|cluster1,deployment,cert-manager-openshift-routes,cert-manager,cert-manager-openshift-routes,2023-05-27T22:30:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T22:30:00.000Z,0.000304,0.0017039999999999998,0.001964,0.002131,0.002794,36.50390625,36.72265625,36.81640625,36.84765625,36.92578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,cert-manager-openshift-routes|cert-manager-openshift-routes|deployment|cert-manager|cluster1,deployment,cert-manager-openshift-routes,cert-manager,cert-manager-openshift-routes,2023-05-27T22:45:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T22:45:00.000Z,0.000304,0.0017070000000000002,0.001964,0.002131,0.002794,36.50390625,36.734375,36.81640625,36.84765625,36.92578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,cert-manager-openshift-routes|cert-manager-openshift-routes|deployment|cert-manager|cluster1,deployment,cert-manager-openshift-routes,cert-manager,cert-manager-openshift-routes,2023-05-27T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T23:00:00.000Z,0.000304,0.0017070000000000002,0.001966,0.002122,0.002794,36.50390625,36.734375,36.81640625,36.84765625,36.92578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,cert-manager-openshift-routes|cert-manager-openshift-routes|deployment|cert-manager|cluster1,deployment,cert-manager-openshift-routes,cert-manager,cert-manager-openshift-routes,2023-05-27T23:15:00.000Z,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T17:15:00.000Z,0.000397,0.0017070000000000002,0.0017070000000000002,0.0017070000000000002,0.0017070000000000002,36.65234375,36.65625,36.65625,36.65625,36.65625,2023-05-27T23:15:00.000Z,0.000304,0.001713,0.001966,0.002122,0.002794,36.47265625,36.734375,36.81640625,36.84765625,36.92578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,cert-manager-openshift-routes|cert-manager-openshift-routes|deployment|cert-manager|cluster1,deployment,cert-manager-openshift-routes,cert-manager,cert-manager-openshift-routes,2023-05-27T23:30:00.000Z,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T17:30:00.000Z,0.00037,0.0017070000000000002,0.00198,0.00198,0.00198,36.65234375,36.65625,36.90234375,36.90234375,36.90234375,2023-05-27T23:30:00.000Z,0.000304,0.001713,0.001966,0.002131,0.002794,36.47265625,36.72265625,36.81640625,36.84765625,36.92578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,cert-manager-openshift-routes|cert-manager-openshift-routes|deployment|cert-manager|cluster1,deployment,cert-manager-openshift-routes,cert-manager,cert-manager-openshift-routes,2023-05-27T23:45:00.000Z,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T17:45:00.000Z,0.00037,0.00198,0.00198,0.002067,0.002067,36.59765625,36.90234375,36.90234375,36.90234375,36.90234375,2023-05-27T23:45:00.000Z,0.000304,0.0017039999999999998,0.001964,0.002131,0.002794,36.47265625,36.72265625,36.81640625,36.84765625,36.92578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,cert-manager-openshift-routes|cert-manager-openshift-routes|deployment|cert-manager|cluster1,deployment,cert-manager-openshift-routes,cert-manager,cert-manager-openshift-routes,2023-05-28T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T18:00:00.000Z,0.00037,0.00198,0.002067,0.002067,0.002593,36.59765625,36.84765625,36.90234375,36.90234375,36.90234375,2023-05-28T00:00:00.000Z,0.000304,0.001681,0.0019490000000000002,0.002122,0.002794,36.47265625,36.72265625,36.81640625,36.84765625,36.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,cert-manager-openshift-routes|cert-manager-openshift-routes|deployment|cert-manager|cluster1,deployment,cert-manager-openshift-routes,cert-manager,cert-manager-openshift-routes,2023-05-28T00:15:00.000Z,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T18:15:00.000Z,0.000344,0.00198,0.002067,0.002186,0.002593,36.59765625,36.65625,36.84765625,36.90234375,36.90234375,2023-05-28T00:15:00.000Z,0.000304,0.001681,0.001942,0.002021,0.002794,36.47265625,36.72265625,36.81640625,36.84765625,36.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,cert-manager-openshift-routes|cert-manager-openshift-routes|deployment|cert-manager|cluster1,deployment,cert-manager-openshift-routes,cert-manager,cert-manager-openshift-routes,2023-05-28T00:30:00.000Z,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T18:30:00.000Z,0.000335,0.001942,0.002067,0.002186,0.002593,36.59765625,36.65625,36.84765625,36.90234375,36.90234375,2023-05-28T00:30:00.000Z,0.000304,0.001681,0.0019490000000000002,0.002122,0.002794,36.47265625,36.6875,36.8125,36.84375,36.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,cert-manager-openshift-routes|cert-manager-openshift-routes|deployment|cert-manager|cluster1,deployment,cert-manager-openshift-routes,cert-manager,cert-manager-openshift-routes,2023-05-28T00:45:00.000Z,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T18:45:00.000Z,0.000335,0.001942,0.00198,0.002186,0.002593,36.59375,36.84765625,36.84765625,36.90234375,36.90234375,2023-05-28T00:45:00.000Z,0.000304,0.0017039999999999998,0.0019490000000000002,0.002122,0.002794,36.47265625,36.66015625,36.8125,36.84375,36.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,cert-manager-openshift-routes|cert-manager-openshift-routes|deployment|cert-manager|cluster1,deployment,cert-manager-openshift-routes,cert-manager,cert-manager-openshift-routes,2023-05-28T01:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T19:00:00.000Z,0.000331,0.0017070000000000002,0.00198,0.002067,0.002593,36.59375,36.84375,36.84765625,36.84765625,36.90234375,2023-05-28T01:00:00.000Z,0.000304,0.001713,0.001964,0.002131,0.002794,36.47265625,36.66015625,36.8125,36.84375,36.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster1,cert-manager-openshift-routes|cert-manager-openshift-routes|deployment|cert-manager|cluster1,deployment,cert-manager-openshift-routes,cert-manager,cert-manager-openshift-routes,2023-05-28T01:15:00.000Z,,,,,,,,,,,,,,,,,,,,,,,2023-05-27T19:15:00.000Z,0.000331,0.001681,0.001942,0.002067,0.002593,36.59375,36.84375,36.84765625,36.84765625,36.90234375,2023-05-28T01:15:00.000Z,0.000304,0.001741,0.001964,0.002131,0.002794,36.47265625,36.66015625,36.8125,36.84375,36.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
